NOC,Year,Sport,Bronze,Gold,Silver,Total
CAN,1996,Beach Volleyball,2.0,0.0,0.0,2.0
CAN,1996,Boxing,0.0,0.0,1.0,1.0
CAN,1996,Canoeing,0.0,0.0,1.0,1.0
CAN,1996,Cycling,3.0,0.0,2.0,5.0
CAN,1996,Diving,1.0,0.0,0.0,1.0
CAN,1996,Rowing,4.0,2.0,15.0,21.0
CAN,1996,Swimming,2.0,0.0,1.0,3.0
CAN,1996,Synchronized Swimming,0.0,0.0,9.0,9.0
CAN,1996,Wrestling,0.0,0.0,1.0,1.0
CAN,2000,Canoeing,1.0,0.0,1.0,2.0
CAN,2000,Diving,1.0,0.0,2.0,3.0
CAN,2000,Judo,0.0,0.0,1.0,1.0
CAN,2000,Rowing,9.0,0.0,0.0,9.0
CAN,2000,Swimming,1.0,0.0,0.0,1.0
CAN,2000,Synchronized Swimming,8.0,0.0,0.0,8.0
CAN,2000,Taekwondo,1.0,0.0,0.0,1.0
CAN,2000,Tennis,0.0,2.0,0.0,2.0
CAN,2000,Trampolining,2.0,0.0,0.0,2.0
CAN,2000,Triathlon,0.0,1.0,0.0,1.0
CAN,2000,Wrestling,0.0,1.0,0.0,1.0
CAN,2004,Canoeing,2.0,1.0,0.0,3.0
CAN,2004,Cycling,0.0,1.0,1.0,2.0
CAN,2004,Diving,2.0,0.0,1.0,3.0
CAN,2004,Gymnastics,0.0,1.0,0.0,1.0
CAN,2004,Rowing,0.0,0.0,4.0,4.0
CAN,2004,Sailing,0.0,0.0,2.0,2.0
CAN,2004,Trampolining,0.0,0.0,1.0,1.0
CAN,2004,Wrestling,0.0,0.0,1.0,1.0
CAN,2008,Athletics,2.0,0.0,0.0,2.0
CAN,2008,Canoeing,1.0,0.0,1.0,2.0
CAN,2008,Diving,0.0,0.0,2.0,2.0
CAN,2008,Equestrianism,0.0,1.0,4.0,5.0
CAN,2008,Rowing,6.0,9.0,2.0,17.0
CAN,2008,Swimming,1.0,0.0,0.0,1.0
CAN,2008,Taekwondo,0.0,0.0,1.0,1.0
CAN,2008,Trampolining,0.0,0.0,2.0,2.0
CAN,2008,Triathlon,0.0,0.0,1.0,1.0
CAN,2008,Wrestling,1.0,1.0,0.0,2.0
CAN,2012,Athletics,1.0,0.0,0.0,1.0
CAN,2012,Canoeing,2.0,0.0,1.0,3.0
CAN,2012,Cycling,3.0,0.0,0.0,3.0
CAN,2012,Diving,4.0,0.0,0.0,4.0
CAN,2012,Football,18.0,0.0,0.0,18.0
CAN,2012,Judo,1.0,0.0,0.0,1.0
CAN,2012,Rowing,0.0,0.0,18.0,18.0
CAN,2012,Swimming,2.0,0.0,1.0,3.0
CAN,2012,Trampolining,0.0,1.0,0.0,1.0
CAN,2012,Weightlifting,1.0,0.0,0.0,1.0
CAN,2012,Wrestling,1.0,0.0,1.0,2.0
CAN,2016,Athletics,8.0,1.0,1.0,10.0
CAN,2016,Cycling,6.0,0.0,0.0,6.0
CAN,2016,Diving,3.0,0.0,0.0,3.0
CAN,2016,Equestrianism,1.0,0.0,0.0,1.0
CAN,2016,Football,18.0,0.0,0.0,18.0
CAN,2016,Rowing,0.0,0.0,2.0,2.0
CAN,2016,Rugby Sevens,12.0,0.0,0.0,12.0
CAN,2016,Swimming,13.0,1.0,1.0,15.0
CAN,2016,Trampolining,0.0,1.0,0.0,1.0
CAN,2016,Wrestling,0.0,1.0,0.0,1.0
CAN,2020,Athletics,9.0,2.0,1.0,12.0
CAN,2020,Baseball/Softball,15.0,0.0,0.0,15.0
CAN,2020,Canoe Sprint,2.0,0.0,1.0,3.0
CAN,2020,Cycling Track,1.0,1.0,0.0,2.0
CAN,2020,Diving,0.0,0.0,2.0,2.0
CAN,2020,Football,0.0,22.0,0.0,22.0
CAN,2020,Judo,2.0,0.0,0.0,2.0
CAN,2020,Rowing,2.0,9.0,0.0,11.0
CAN,2020,Swimming,7.0,1.0,7.0,15.0
CAN,2020,Weightlifting,0.0,1.0,0.0,1.0
CAN,2024,Athletics,1.0,8.0,1.0,10.0
CAN,2024,Beach Volleyball,0.0,0.0,2.0,2.0
CAN,2024,Boxing,1.0,0.0,0.0,1.0
CAN,2024,Breaking,0.0,1.0,0.0,1.0
CAN,2024,Canoe Sprint,2.0,1.0,0.0,3.0
CAN,2024,Diving,2.0,0.0,0.0,2.0
CAN,2024,Fencing,1.0,0.0,0.0,1.0
CAN,2024,Judo,0.0,1.0,0.0,1.0
CAN,2024,Rowing,0.0,0.0,9.0,9.0
CAN,2024,Rugby Sevens,0.0,0.0,14.0,14.0
CAN,2024,Swimming,3.0,3.0,2.0,8.0
CAN,2024,Taekwondo,1.0,0.0,0.0,1.0
CAN,2024,Tennis,2.0,0.0,0.0,2.0
CAN,2024,Trampoline Gymnastics,1.0,0.0,0.0,1.0
CAN,2024,Weightlifting,0.0,0.0,1.0,1.0
CHI,2000,Football,17.0,0.0,0.0,17.0
CHI,2004,Tennis,1.0,3.0,0.0,4.0
CHI,2008,Tennis,0.0,0.0,1.0,1.0
CHI,2024,Shooting,0.0,1.0,0.0,1.0
CHI,2024,Wrestling,0.0,0.0,1.0,1.0
CHN,1992,Archery,0.0,0.0,3.0,3.0
CHN,1992,Athletics,2.0,1.0,1.0,4.0
CHN,1992,Badminton,6.0,0.0,2.0,8.0
CHN,1992,Basketball,0.0,0.0,11.0,11.0
CHN,1992,Diving,1.0,3.0,1.0,5.0
CHN,1992,Fencing,0.0,0.0,1.0,1.0
CHN,1992,Gymnastics,2.0,2.0,9.0,13.0
CHN,1992,Judo,2.0,1.0,0.0,3.0
CHN,1992,Rowing,2.0,0.0,0.0,2.0
CHN,1992,Sailing,0.0,0.0,1.0,1.0
CHN,1992,Shooting,0.0,2.0,2.0,4.0
CHN,1992,Swimming,0.0,4.0,9.0,13.0
CHN,1992,Table Tennis,1.0,5.0,3.0,9.0
CHN,1992,Weightlifting,2.0,0.0,2.0,4.0
CHN,1992,Wrestling,1.0,0.0,0.0,1.0
CHN,1996,Archery,0.0,0.0,1.0,1.0
CHN,1996,Athletics,1.0,1.0,2.0,4.0
CHN,1996,Badminton,4.0,2.0,1.0,7.0
CHN,1996,Diving,1.0,3.0,1.0,5.0
CHN,1996,Football,0.0,0.0,15.0,15.0
CHN,1996,Gymnastics,1.0,1.0,10.0,12.0
CHN,1996,Judo,1.0,1.0,0.0,2.0
CHN,1996,Rowing,0.0,0.0,2.0,2.0
CHN,1996,Shooting,1.0,2.0,2.0,5.0
CHN,1996,Softball,0.0,0.0,15.0,15.0
CHN,1996,Swimming,5.0,1.0,6.0,12.0
CHN,1996,Table Tennis,1.0,6.0,5.0,12.0
CHN,1996,Volleyball,0.0,0.0,9.0,9.0
CHN,1996,Weightlifting,1.0,2.0,1.0,4.0
CHN,1996,Wrestling,1.0,0.0,0.0,1.0
CHN,2000,Athletics,0.0,1.0,0.0,1.0
CHN,2000,Badminton,4.0,6.0,2.0,12.0
CHN,2000,Cycling,1.0,0.0,0.0,1.0
CHN,2000,Diving,0.0,7.0,7.0,14.0
CHN,2000,Fencing,3.0,0.0,3.0,6.0
CHN,2000,Gymnastics,2.0,8.0,2.0,12.0
CHN,2000,Judo,1.0,2.0,1.0,4.0
CHN,2000,Shooting,3.0,3.0,2.0,8.0
CHN,2000,Table Tennis,1.0,6.0,5.0,12.0
CHN,2000,Taekwondo,0.0,1.0,0.0,1.0
CHN,2000,Weightlifting,1.0,5.0,1.0,7.0
CHN,2000,Wrestling,1.0,0.0,0.0,1.0
CHN,2004,Archery,0.0,0.0,3.0,3.0
CHN,2004,Athletics,0.0,2.0,0.0,2.0
CHN,2004,Badminton,1.0,5.0,2.0,8.0
CHN,2004,Boxing,1.0,0.0,0.0,1.0
CHN,2004,Canoeing,0.0,2.0,0.0,2.0
CHN,2004,Cycling,0.0,0.0,1.0,1.0
CHN,2004,Diving,1.0,9.0,2.0,12.0
CHN,2004,Fencing,0.0,0.0,6.0,6.0
CHN,2004,Gymnastics,2.0,1.0,0.0,3.0
CHN,2004,Judo,3.0,1.0,1.0,5.0
CHN,2004,Sailing,0.0,0.0,1.0,1.0
CHN,2004,Shooting,3.0,4.0,2.0,9.0
CHN,2004,Swimming,0.0,1.0,5.0,6.0
CHN,2004,Table Tennis,3.0,5.0,1.0,9.0
CHN,2004,Taekwondo,0.0,2.0,0.0,2.0
CHN,2004,Tennis,0.0,2.0,0.0,2.0
CHN,2004,Trampolining,1.0,0.0,0.0,1.0
CHN,2004,Volleyball,0.0,12.0,0.0,12.0
CHN,2004,Weightlifting,0.0,5.0,3.0,8.0
CHN,2004,Wrestling,0.0,1.0,0.0,1.0
CHN,2008,Archery,3.0,1.0,3.0,7.0
CHN,2008,Athletics,2.0,0.0,0.0,2.0
CHN,2008,Badminton,5.0,4.0,3.0,12.0
CHN,2008,Beach Volleyball,2.0,0.0,2.0,4.0
CHN,2008,Boxing,1.0,2.0,1.0,4.0
CHN,2008,Canoeing,0.0,2.0,0.0,2.0
CHN,2008,Cycling,1.0,0.0,0.0,1.0
CHN,2008,Diving,3.0,11.0,1.0,15.0
CHN,2008,Fencing,0.0,1.0,4.0,5.0
CHN,2008,Gymnastics,4.0,19.0,1.0,24.0
CHN,2008,Hockey,0.0,0.0,16.0,16.0
CHN,2008,Judo,1.0,3.0,0.0,4.0
CHN,2008,Rhythmic Gymnastics,0.0,0.0,6.0,6.0
CHN,2008,Rowing,0.0,4.0,2.0,6.0
CHN,2008,Sailing,1.0,1.0,0.0,2.0
CHN,2008,Shooting,1.0,5.0,2.0,8.0
CHN,2008,Swimming,6.0,1.0,7.0,14.0
CHN,2008,Synchronized Swimming,9.0,0.0,0.0,9.0
CHN,2008,Table Tennis,2.0,8.0,2.0,12.0
CHN,2008,Taekwondo,1.0,1.0,0.0,2.0
CHN,2008,Tennis,2.0,0.0,0.0,2.0
CHN,2008,Trampolining,1.0,2.0,0.0,3.0
CHN,2008,Volleyball,12.0,0.0,0.0,12.0
CHN,2008,Weightlifting,0.0,8.0,1.0,9.0
CHN,2008,Wrestling,0.0,1.0,2.0,3.0
CHN,2012,Archery,1.0,0.0,3.0,4.0
CHN,2012,Athletics,5.0,1.0,0.0,6.0
CHN,2012,Badminton,1.0,8.0,3.0,12.0
CHN,2012,Boxing,1.0,1.0,1.0,3.0
CHN,2012,Cycling,1.0,0.0,3.0,4.0
CHN,2012,Diving,1.0,10.0,3.0,14.0
CHN,2012,Fencing,1.0,5.0,0.0,6.0
CHN,2012,Gymnastics,1.0,8.0,3.0,12.0
CHN,2012,Judo,1.0,0.0,1.0,2.0
CHN,2012,Modern Pentathlon,0.0,0.0,1.0,1.0
CHN,2012,Rowing,0.0,0.0,2.0,2.0
CHN,2012,Sailing,0.0,1.0,0.0,1.0
CHN,2012,Shooting,3.0,2.0,2.0,7.0
CHN,2012,Swimming,8.0,5.0,2.0,15.0
CHN,2012,Synchronized Swimming,2.0,0.0,9.0,11.0
CHN,2012,Table Tennis,0.0,8.0,2.0,10.0
CHN,2012,Taekwondo,1.0,1.0,1.0,3.0
CHN,2012,Trampolining,2.0,1.0,1.0,4.0
CHN,2012,Weightlifting,0.0,5.0,2.0,7.0
CHN,2012,Wrestling,0.0,0.0,1.0,1.0
CHN,2016,Athletics,2.0,2.0,2.0,6.0
CHN,2016,Badminton,2.0,3.0,0.0,5.0
CHN,2016,Boxing,3.0,0.0,1.0,4.0
CHN,2016,Cycling,0.0,2.0,0.0,2.0
CHN,2016,Diving,2.0,10.0,2.0,14.0
CHN,2016,Fencing,1.0,0.0,4.0,5.0
CHN,2016,Golf,1.0,0.0,0.0,1.0
CHN,2016,Gymnastics,10.0,0.0,0.0,10.0
CHN,2016,Judo,2.0,0.0,0.0,2.0
CHN,2016,Rowing,3.0,0.0,0.0,3.0
CHN,2016,Sailing,0.0,0.0,1.0,1.0
CHN,2016,Shooting,4.0,1.0,2.0,7.0
CHN,2016,Swimming,3.0,1.0,2.0,6.0
CHN,2016,Synchronized Swimming,0.0,0.0,11.0,11.0
CHN,2016,Table Tennis,0.0,8.0,2.0,10.0
CHN,2016,Taekwondo,0.0,2.0,0.0,2.0
CHN,2016,Trampolining,2.0,0.0,1.0,3.0
CHN,2016,Volleyball,0.0,12.0,0.0,12.0
CHN,2016,Weightlifting,0.0,5.0,2.0,7.0
CHN,2016,Wrestling,2.0,0.0,0.0,2.0
CHN,2020,3x3 Basketball,4.0,0.0,0.0,4.0
CHN,2020,Artistic Gymnastics,5.0,3.0,3.0,11.0
CHN,2020,Artistic Swimming,0.0,0.0,10.0,10.0
CHN,2020,Athletics,1.0,2.0,2.0,5.0
CHN,2020,Badminton,0.0,3.0,7.0,10.0
CHN,2020,Boxing,0.0,0.0,2.0,2.0
CHN,2020,Canoe Sprint,0.0,2.0,3.0,5.0
CHN,2020,Cycling Track,0.0,3.0,0.0,3.0
CHN,2020,Diving,0.0,10.0,6.0,16.0
CHN,2020,Fencing,0.0,1.0,0.0,1.0
CHN,2020,Karate,1.0,0.0,1.0,2.0
CHN,2020,Rowing,11.0,4.0,0.0,15.0
CHN,2020,Sailing,1.0,1.0,0.0,2.0
CHN,2020,Shooting,6.0,6.0,1.0,13.0
CHN,2020,Swimming,1.0,8.0,5.0,14.0
CHN,2020,Table Tennis,0.0,8.0,4.0,12.0
CHN,2020,Taekwondo,1.0,0.0,0.0,1.0
CHN,2020,Trampoline Gymnastics,0.0,1.0,2.0,3.0
CHN,2020,Weightlifting,0.0,7.0,1.0,8.0
CHN,2020,Wrestling,2.0,0.0,2.0,4.0
CHN,2024,Archery,0.0,0.0,3.0,3.0
CHN,2024,Artistic Gymnastics,2.0,2.0,9.0,13.0
CHN,2024,Artistic Swimming,0.0,11.0,0.0,11.0
CHN,2024,Athletics,2.0,1.0,1.0,4.0
CHN,2024,Badminton,0.0,4.0,5.0,9.0
CHN,2024,Boxing,0.0,3.0,2.0,5.0
CHN,2024,Breaking,1.0,0.0,0.0,1.0
CHN,2024,Canoe Sprint,0.0,4.0,0.0,4.0
CHN,2024,Cycling BMX Freestyle,0.0,1.0,0.0,1.0
CHN,2024,Diving,1.0,12.0,2.0,15.0
CHN,2024,Golf,1.0,0.0,0.0,1.0
CHN,2024,Hockey,0.0,0.0,17.0,17.0
CHN,2024,Judo,1.0,0.0,0.0,1.0
CHN,2024,Rhythmic Gymnastics,0.0,5.0,0.0,5.0
CHN,2024,Shooting,4.0,6.0,2.0,12.0
CHN,2024,Sport Climbing,0.0,0.0,2.0,2.0
CHN,2024,Swimming,22.0,6.0,8.0,36.0
CHN,2024,Table Tennis,0.0,10.0,1.0,11.0
CHN,2024,Taekwondo,1.0,0.0,1.0,2.0
CHN,2024,Tennis,0.0,1.0,2.0,3.0
CHN,2024,Trampoline Gymnastics,1.0,0.0,1.0,2.0
CHN,2024,Weightlifting,0.0,5.0,0.0,5.0
CHN,2024,Wrestling,4.0,0.0,1.0,5.0
CIV,2016,Taekwondo,1.0,1.0,0.0,2.0
CIV,2020,Taekwondo,1.0,0.0,0.0,1.0
CIV,2024,Taekwondo,1.0,0.0,0.0,1.0
CMR,2000,Football,0.0,18.0,0.0,18.0
CMR,2004,Athletics,0.0,1.0,0.0,1.0
CMR,2008,Athletics,0.0,1.0,0.0,1.0
COL,1992,Athletics,1.0,0.0,0.0,1.0
COL,2000,Weightlifting,0.0,1.0,0.0,1.0
COL,2004,Cycling,1.0,0.0,0.0,1.0
COL,2004,Weightlifting,1.0,0.0,0.0,1.0
COL,2008,Weightlifting,0.0,0.0,1.0,1.0
COL,2008,Wrestling,1.0,0.0,0.0,1.0
COL,2012,Athletics,0.0,0.0,1.0,1.0
COL,2012,Cycling,1.0,1.0,1.0,3.0
COL,2012,Judo,1.0,0.0,0.0,1.0
COL,2012,Taekwondo,1.0,0.0,0.0,1.0
COL,2012,Weightlifting,0.0,0.0,1.0,1.0
COL,2012,Wrestling,1.0,0.0,0.0,1.0
COL,2016,Athletics,0.0,1.0,0.0,1.0
COL,2016,Boxing,1.0,0.0,1.0,2.0
COL,2016,Cycling,1.0,1.0,0.0,2.0
COL,2016,Judo,0.0,0.0,1.0,1.0
COL,2016,Weightlifting,1.0,1.0,0.0,2.0
COL,2020,Athletics,0.0,0.0,2.0,2.0
COL,2020,Cycling BMX Racing,1.0,0.0,1.0,2.0
COL,2020,Weightlifting,0.0,0.0,1.0,1.0
COL,2024,Artistic Gymnastics,0.0,0.0,1.0,1.0
COL,2024,Weightlifting,0.0,0.0,2.0,2.0
COL,2024,Wrestling,1.0,0.0,0.0,1.0
CPV,2024,Boxing,1.0,0.0,0.0,1.0
CRC,1996,Swimming,0.0,1.0,0.0,1.0
CRC,2000,Swimming,2.0,0.0,0.0,2.0
CRO,1992,Basketball,0.0,0.0,12.0,12.0
CRO,1992,Tennis,3.0,0.0,0.0,3.0
CRO,1996,Handball,0.0,16.0,0.0,16.0
CRO,1996,Water Polo,0.0,0.0,12.0,12.0
CRO,2000,Rowing,9.0,0.0,0.0,9.0
CRO,2000,Weightlifting,0.0,1.0,0.0,1.0
CRO,2004,Handball,0.0,15.0,0.0,15.0
CRO,2004,Rowing,0.0,0.0,2.0,2.0
CRO,2004,Swimming,0.0,0.0,1.0,1.0
CRO,2004,Tennis,2.0,0.0,0.0,2.0
CRO,2004,Weightlifting,1.0,0.0,0.0,1.0
CRO,2008,Athletics,0.0,0.0,1.0,1.0
CRO,2008,Gymnastics,0.0,0.0,1.0,1.0
CRO,2008,Shooting,1.0,0.0,0.0,1.0
CRO,2008,Taekwondo,2.0,0.0,0.0,2.0
CRO,2012,Athletics,0.0,1.0,0.0,1.0
CRO,2012,Handball,15.0,0.0,0.0,15.0
CRO,2012,Rowing,0.0,0.0,4.0,4.0
CRO,2012,Shooting,0.0,1.0,0.0,1.0
CRO,2012,Taekwondo,1.0,0.0,0.0,1.0
CRO,2012,Water Polo,0.0,13.0,0.0,13.0
CRO,2016,Athletics,1.0,2.0,0.0,3.0
CRO,2016,Boxing,1.0,0.0,0.0,1.0
CRO,2016,Rowing,0.0,2.0,1.0,3.0
CRO,2016,Sailing,0.0,2.0,1.0,3.0
CRO,2016,Shooting,0.0,1.0,0.0,1.0
CRO,2016,Water Polo,0.0,0.0,13.0,13.0
CRO,2020,Artistic Gymnastics,0.0,0.0,1.0,1.0
CRO,2020,Rowing,1.0,2.0,0.0,3.0
CRO,2020,Sailing,0.0,0.0,1.0,1.0
CRO,2020,Taekwondo,1.0,1.0,0.0,2.0
CRO,2020,Tennis,0.0,2.0,2.0,4.0
CRO,2024,Athletics,1.0,0.0,0.0,1.0
CRO,2024,Judo,0.0,1.0,0.0,1.0
CRO,2024,Rowing,0.0,2.0,0.0,2.0
CRO,2024,Shooting,1.0,0.0,0.0,1.0
CRO,2024,Taekwondo,1.0,0.0,0.0,1.0
CRO,2024,Tennis,0.0,0.0,1.0,1.0
CRO,2024,Water Polo,0.0,0.0,13.0,13.0
CUB,1992,Athletics,7.0,2.0,4.0,13.0
CUB,1992,Baseball,0.0,20.0,0.0,20.0
CUB,1992,Boxing,0.0,7.0,2.0,9.0
CUB,1992,Fencing,1.0,0.0,5.0,6.0
CUB,1992,Judo,3.0,1.0,1.0,5.0
CUB,1992,Volleyball,0.0,10.0,0.0,10.0
CUB,1992,Weightlifting,0.0,0.0,1.0,1.0
CUB,1992,Wrestling,3.0,2.0,0.0,5.0
CUB,1996,Athletics,1.0,0.0,1.0,2.0
CUB,1996,Baseball,0.0,20.0,0.0,20.0
CUB,1996,Boxing,0.0,4.0,3.0,7.0
CUB,1996,Fencing,3.0,0.0,1.0,4.0
CUB,1996,Judo,4.0,1.0,1.0,6.0
CUB,1996,Swimming,1.0,0.0,1.0,2.0
CUB,1996,Volleyball,0.0,10.0,0.0,10.0
CUB,1996,Weightlifting,0.0,1.0,0.0,1.0
CUB,1996,Wrestling,1.0,1.0,1.0,3.0
CUB,2000,Athletics,5.0,2.0,2.0,9.0
CUB,2000,Baseball,0.0,0.0,24.0,24.0
CUB,2000,Boxing,2.0,4.0,0.0,6.0
CUB,2000,Canoeing,0.0,0.0,3.0,3.0
CUB,2000,Fencing,3.0,0.0,0.0,3.0
CUB,2000,Judo,1.0,2.0,2.0,5.0
CUB,2000,Taekwondo,0.0,1.0,1.0,2.0
CUB,2000,Volleyball,0.0,8.0,0.0,8.0
CUB,2000,Wrestling,1.0,1.0,3.0,5.0
CUB,2004,Athletics,2.0,2.0,1.0,5.0
CUB,2004,Baseball,0.0,24.0,0.0,24.0
CUB,2004,Boxing,1.0,5.0,2.0,8.0
CUB,2004,Canoeing,0.0,0.0,2.0,2.0
CUB,2004,Judo,5.0,0.0,1.0,6.0
CUB,2004,Shooting,1.0,0.0,0.0,1.0
CUB,2004,Taekwondo,0.0,0.0,1.0,1.0
CUB,2004,Volleyball,12.0,0.0,0.0,12.0
CUB,2004,Wrestling,1.0,1.0,1.0,3.0
CUB,2008,Athletics,2.0,1.0,2.0,5.0
CUB,2008,Baseball,0.0,0.0,24.0,24.0
CUB,2008,Boxing,4.0,0.0,4.0,8.0
CUB,2008,Cycling,0.0,0.0,1.0,1.0
CUB,2008,Judo,3.0,0.0,3.0,6.0
CUB,2008,Shooting,1.0,0.0,0.0,1.0
CUB,2008,Taekwondo,1.0,0.0,0.0,1.0
CUB,2008,Wrestling,0.0,1.0,0.0,1.0
CUB,2012,Athletics,1.0,0.0,1.0,2.0
CUB,2012,Boxing,2.0,2.0,0.0,4.0
CUB,2012,Judo,0.0,1.0,2.0,3.0
CUB,2012,Shooting,0.0,1.0,0.0,1.0
CUB,2012,Taekwondo,1.0,0.0,0.0,1.0
CUB,2012,Weightlifting,1.0,0.0,0.0,1.0
CUB,2012,Wrestling,1.0,1.0,0.0,2.0
CUB,2016,Athletics,1.0,0.0,0.0,1.0
CUB,2016,Boxing,3.0,3.0,0.0,6.0
CUB,2016,Judo,0.0,0.0,1.0,1.0
CUB,2016,Wrestling,0.0,2.0,1.0,3.0
CUB,2020,Athletics,2.0,0.0,1.0,3.0
CUB,2020,Boxing,1.0,4.0,0.0,5.0
CUB,2020,Canoe Sprint,0.0,2.0,0.0,2.0
CUB,2020,Judo,0.0,0.0,1.0,1.0
CUB,2020,Shooting,0.0,0.0,1.0,1.0
CUB,2020,Taekwondo,1.0,0.0,0.0,1.0
CUB,2020,Wrestling,1.0,2.0,0.0,3.0
CUB,2024,Boxing,1.0,1.0,0.0,2.0
CUB,2024,Canoe Sprint,1.0,0.0,0.0,1.0
CUB,2024,Taekwondo,1.0,0.0,0.0,1.0
CUB,2024,Wrestling,3.0,1.0,1.0,5.0
CYP,2012,Sailing,0.0,0.0,1.0,1.0
CYP,2024,Sailing,0.0,0.0,1.0,1.0
CZE,1996,Athletics,2.0,1.0,0.0,3.0
CZE,1996,Canoeing,0.0,3.0,3.0,6.0
CZE,1996,Shooting,1.0,0.0,0.0,1.0
CZE,1996,Tennis,1.0,0.0,2.0,3.0
CZE,2000,Athletics,0.0,1.0,1.0,2.0
CZE,2000,Boxing,0.0,0.0,1.0,1.0
CZE,2000,Canoeing,2.0,1.0,0.0,3.0
CZE,2000,Shooting,1.0,0.0,1.0,2.0
CZE,2000,Triathlon,1.0,0.0,0.0,1.0
CZE,2004,Athletics,2.0,1.0,0.0,3.0
CZE,2004,Canoeing,2.0,0.0,0.0,2.0
CZE,2004,Modern Pentathlon,1.0,0.0,0.0,1.0
CZE,2004,Rowing,0.0,0.0,4.0,4.0
CZE,2004,Sailing,0.0,0.0,1.0,1.0
CZE,2004,Shooting,1.0,0.0,1.0,2.0
CZE,2008,Athletics,0.0,1.0,0.0,1.0
CZE,2008,Canoeing,0.0,0.0,2.0,2.0
CZE,2008,Rowing,0.0,0.0,1.0,1.0
CZE,2008,Shooting,0.0,2.0,1.0,3.0
CZE,2012,Athletics,1.0,1.0,0.0,2.0
CZE,2012,Canoeing,4.0,0.0,1.0,5.0
CZE,2012,Cycling,0.0,1.0,0.0,1.0
CZE,2012,Modern Pentathlon,0.0,1.0,0.0,1.0
CZE,2012,Rowing,0.0,1.0,1.0,2.0
CZE,2012,Shooting,1.0,0.0,0.0,1.0
CZE,2012,Tennis,0.0,0.0,2.0,2.0
CZE,2016,Athletics,1.0,0.0,0.0,1.0
CZE,2016,Canoeing,5.0,0.0,1.0,6.0
CZE,2016,Cycling,0.0,0.0,1.0,1.0
CZE,2016,Judo,0.0,1.0,0.0,1.0
CZE,2016,Rowing,1.0,0.0,0.0,1.0
CZE,2016,Tennis,5.0,0.0,0.0,5.0
CZE,2020,Athletics,1.0,0.0,1.0,2.0
CZE,2020,Canoe Slalom,0.0,1.0,1.0,2.0
CZE,2020,Canoe Sprint,2.0,0.0,0.0,2.0
CZE,2020,Fencing,1.0,0.0,0.0,1.0
CZE,2020,Judo,0.0,1.0,0.0,1.0
CZE,2020,Shooting,0.0,1.0,1.0,2.0
CZE,2020,Tennis,0.0,2.0,1.0,3.0
CZE,2024,Athletics,1.0,0.0,0.0,1.0
CZE,2024,Canoe Sprint,0.0,2.0,0.0,2.0
CZE,2024,Fencing,4.0,0.0,0.0,4.0
CZE,2024,Tennis,0.0,2.0,0.0,2.0
DEN,1992,Badminton,1.0,0.0,0.0,1.0
DEN,1992,Boxing,1.0,0.0,0.0,1.0
DEN,1992,Canoeing,0.0,0.0,2.0,2.0
DEN,1992,Cycling,5.0,0.0,0.0,5.0
DEN,1992,Sailing,2.0,3.0,0.0,5.0
DEN,1996,Badminton,0.0,1.0,0.0,1.0
DEN,1996,Cycling,0.0,0.0,1.0,1.0
DEN,1996,Handball,0.0,15.0,0.0,15.0
DEN,1996,Rowing,1.0,4.0,0.0,5.0
DEN,1996,Sailing,0.0,1.0,0.0,1.0
DEN,2000,Athletics,0.0,0.0,1.0,1.0
DEN,2000,Badminton,0.0,0.0,1.0,1.0
DEN,2000,Handball,0.0,15.0,0.0,15.0
DEN,2000,Rowing,4.0,0.0,0.0,4.0
DEN,2000,Sailing,0.0,3.0,0.0,3.0
DEN,2000,Shooting,0.0,0.0,1.0,1.0
DEN,2004,Athletics,1.0,0.0,1.0,2.0
DEN,2004,Badminton,2.0,0.0,0.0,2.0
DEN,2004,Handball,0.0,15.0,0.0,15.0
DEN,2004,Rowing,0.0,4.0,0.0,4.0
DEN,2004,Sailing,4.0,0.0,0.0,4.0
DEN,2004,Table Tennis,2.0,0.0,0.0,2.0
DEN,2008,Canoeing,0.0,0.0,2.0,2.0
DEN,2008,Cycling,0.0,0.0,5.0,5.0
DEN,2008,Equestrianism,3.0,0.0,0.0,3.0
DEN,2008,Rowing,2.0,4.0,0.0,6.0
DEN,2008,Sailing,0.0,2.0,0.0,2.0
DEN,2008,Swimming,1.0,0.0,0.0,1.0
DEN,2012,Badminton,2.0,0.0,2.0,4.0
DEN,2012,Cycling,0.0,1.0,0.0,1.0
DEN,2012,Rowing,4.0,2.0,1.0,7.0
DEN,2012,Sailing,2.0,0.0,1.0,3.0
DEN,2012,Shooting,0.0,0.0,1.0,1.0
DEN,2016,Athletics,0.0,0.0,1.0,1.0
DEN,2016,Badminton,1.0,0.0,2.0,3.0
DEN,2016,Canoeing,0.0,0.0,1.0,1.0
DEN,2016,Cycling,6.0,0.0,1.0,7.0
DEN,2016,Handball,0.0,14.0,0.0,14.0
DEN,2016,Rowing,2.0,0.0,4.0,6.0
DEN,2016,Sailing,3.0,0.0,0.0,3.0
DEN,2016,Swimming,4.0,1.0,0.0,5.0
DEN,2016,Wrestling,0.0,0.0,1.0,1.0
DEN,2020,Badminton,0.0,1.0,0.0,1.0
DEN,2020,Canoe Sprint,2.0,0.0,0.0,2.0
DEN,2020,Cycling Track,0.0,2.0,8.0,10.0
DEN,2020,Handball,0.0,0.0,15.0,15.0
DEN,2020,Rowing,2.0,0.0,0.0,2.0
